geometry/coordinates/0	geometry/coordinates/1	properties/id	properties/url	properties/city	properties/name	properties/state	properties/address	properties/provider	properties/postal_code	properties/provider_brand	properties/provider_brand_id	properties/provider_brand_name	properties/provider_location_id	properties/appointments_available	properties/appointments_available_all_doses	properties/appointments_available_2nd_dose_only	properties/appointment_types/unknown	properties/appointment_vaccine_types/moderna	properties/appointment_vaccine_types	properties/appointment_vaccine_types/jj	properties/appointment_vaccine_types/unknown
-80.203091	26.278423	777659	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Coral Springs	Coral Springs Supercenter	FL	3801 Turtle Creek Dr	walmart	33067	walmart	70	Walmart	1387	TRUE	TRUE	FALSE	TRUE				
-82.68483	27.845075	778134	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Pinellas Park	Pinellas Park Supercenter	FL	8001 Us Highway 19 N	walmart	33781	walmart	70	Walmart	1390	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.49085	28.549978	777543	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Orlando	Orlando Neighborhood Market	FL	7818 Colonial West Drive	walmart	32818	walmart	70	Walmart	4425	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.29576	25.935789	777645	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Hialeah	Hialeah Supercenter	FL	5851 Nw 177th St	walmart	33015	walmart	70	Walmart	1590	TRUE	TRUE	FALSE	TRUE				
-80.229699	26.205328	777648	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	North Lauderdale	North Lauderdale Supercenter	FL	7900 W Mcnab Rd	walmart	33068	walmart	70	Walmart	1851	TRUE	TRUE	FALSE	TRUE	TRUE			
-85.188476	30.727748	777557	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Marianna	Marianna Supercenter	FL	2255 Highway 71	walmart	32448	walmart	70	Walmart	1375	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.7066673	30.4503575	777030	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Jacksonville	Jacksonville Supercenter	FL	12100 Lem Turner Rd	walmart	32218	walmart	70	Walmart	1219	TRUE	TRUE	FALSE	TRUE				
-80.262238	25.926748	777641	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Miami Gardens	Miami Gardens Neighborhood Market	FL	3791 Nw 167th St	walmart	33055	walmart	70	Walmart	2907	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.421139	28.659911	777525	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Altamonte Springs	Altamonte Springs Store	FL	200 S State Road 434	walmart	32714	walmart	70	Walmart	1374	TRUE	TRUE	FALSE	TRUE	TRUE			
-86.460288	30.517349	777569	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Niceville	Niceville Supercenter	FL	1300 John Sims Pkwy E	walmart	32578	walmart	70	Walmart	5845	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.833799	30.105744	777039	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Middleburg	Middleburg Supercenter	FL	1580 Branan Field Rd	walmart	32068	walmart	70	Walmart	3308	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.310563	26.062116	777642	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Cooper City	Cooper City Supercenter	FL	4700 S Flamingo Rd	walmart	33330	walmart	70	Walmart	1845	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.377918	27.421425	778124	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Fort Pierce	Fort Pierce Supercenter	FL	5100 Okeechobee Rd	walmart	34947	walmart	70	Walmart	973	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.374947	28.511893	777539	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Orlando	Orlando Neighborhood Market	FL	2715 S Orange Ave	walmart	32806	walmart	70	Walmart	3162	TRUE	TRUE	FALSE	TRUE	TRUE			
-84.229234	30.545253	777066	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Tallahassee	Tallahassee Supercenter	FL	5500 Thomasville Rd	walmart	32312	walmart	70	Walmart	1223	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.095769	26.529016	777677	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Boynton Beach	Boynton Beach Supercenter	FL	3200 Old Boynton Rd	walmart	33436	walmart	70	Walmart	2789	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.555936	30.179113	777051	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Jacksonville	Jacksonville Supercenter	FL	10251 Shops Ln	walmart	32258	walmart	70	Walmart	4444	TRUE	TRUE	FALSE	TRUE	TRUE			
-82.166304	29.157851	777597	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Ocala	Ocala Supercenter	FL	2600 Sw 19th Avenue Rd	walmart	34471	walmart	70	Walmart	697	TRUE	TRUE	FALSE	TRUE	TRUE			
-85.593254	30.161539	777558	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Callaway	Callaway Supercenter	FL	725 N Tyndall Pkwy	walmart	32404	walmart	70	Walmart	1207	TRUE	TRUE	FALSE	TRUE	TRUE			
-82.276131	29.05658	777596	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Ocala	Ocala Supercenter	FL	9570 Sw Highway 200	walmart	34481	walmart	70	Walmart	5326	TRUE	TRUE	FALSE	TRUE	TRUE			
-82.457053	27.436805	778194	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Bradenton	Bradenton Supercenter	FL	5810 Ranch Lake Blvd	walmart	34202	walmart	70	Walmart	5727	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.2875953	27.2655144	778122	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Port St Lucie	Port St Lucie Supercenter	FL	10855 So. Us Hwy #1	walmart	34952	walmart	70	Walmart	929	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.75302	30.250666	777036	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Jacksonville	Jacksonville Supercenter	FL	6767 103rd St	walmart	32210	walmart	70	Walmart	1090	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.827943	27.221482	778108	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Okeechobee	Okeechobee Supercenter	FL	2101 S Parrott Ave	walmart	34974	walmart	70	Walmart	814	TRUE	TRUE	FALSE	TRUE	TRUE			
-84.214277	30.425341	777068	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Tallahassee	Tallahassee Supercenter	FL	3535 Apalachee Pkwy	walmart	32311	walmart	70	Walmart	1077	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.49188	30.317168	777049	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Jacksonville	Jacksonville Supercenter	FL	11900 Atlantic Blvd	walmart	32225	walmart	70	Walmart	5054	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.380818	27.316246	778123	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Port St Lucie	Port St Lucie Neighborhood Market	FL	902 Sw Saint Lucie West Blvd	walmart	34986	walmart	70	Walmart	7299	TRUE	TRUE	FALSE	TRUE	TRUE			
-81.96487	28.962586	777603	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Summerfield	Summerfield Supercenter	FL	17961 S Us Highway 441	walmart	34491	walmart	70	Walmart	2843	TRUE	TRUE	FALSE	TRUE	TRUE			
-84.360259	30.216862	777554	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Crawfordville	Crawfordville Supercenter	FL	35 Mike Stewart	walmart	32327	walmart	70	Walmart	3307	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.175083	26.119082	777633	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Fort Lauderdale	Fort Lauderdale Supercenter	FL	2500 W Broward Boulevard	walmart	33312	walmart	70	Walmart	2946	TRUE	TRUE	FALSE	TRUE	TRUE			
-82.673579	28.043587	778136	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Oldsmar	Oldsmar Supercenter	FL	3801 Tampa Rd	walmart	34677	walmart	70	Walmart	2796	TRUE	TRUE	FALSE	TRUE	TRUE			
-82.489485	28.891252	777598	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Lecanto	Lecanto Supercenter	FL	1936 N Lecanto Hwy	walmart	34461	walmart	70	Walmart	5772	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.155019	26.22791	777649	https://www.walmart.com/pharmacy/clinical-services/immunization/scheduled?imzType=covid	Pompano Beach	Pompano Beach Supercenter	FL	2300 W Atlantic Blvd	walmart	33069	walmart	70	Walmart	2962	TRUE	TRUE	FALSE	TRUE	TRUE			
-80.75453056	28.37360105	2718295	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	COCOA	Walgreen Drug Store	FL	1106 CLEARLAKE RD	walgreens	32922	walgreens	47	Walgreens	4303	TRUE	FALSE	TRUE					
-80.77487273	28.48909359	2718303	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	COCOA	Walgreen Drug Store	FL	7415 N HIGHWAY 1	walgreens	32927	walgreens	47	Walgreens	11992	TRUE	FALSE	TRUE					
-80.608599	28.356699	2718300	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	COCOA BEACH	Walgreen Drug Store	FL	4150 N ATLANTIC AVE	walgreens	32931	walgreens	47	Walgreens	2284	TRUE	FALSE	TRUE					
-80.67255442	28.17251279	2718297	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	MELBOURNE	Walgreen Drug Store	FL	4020 N WICKHAM RD	walgreens	32935	walgreens	47	Walgreens	4259	TRUE	FALSE	TRUE					
-80.57718066	28.12205589	2718305	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	MELBOURNE	Walgreen Drug Store	FL	2200 N HIGHWAY A1A	walgreens	32903	walgreens	47	Walgreens	4815	TRUE	FALSE	TRUE					
-80.62116798	28.09388684	2718304	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	MELBOURNE	Walgreen Drug Store	FL	975 S BABCOCK ST	walgreens	32901	walgreens	47	Walgreens	3080	TRUE	FALSE	TRUE					
-80.672499	28.128999	2718299	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	MELBOURNE	Walgreen Drug Store	FL	1350 N WICKHAM RD	walgreens	32935	walgreens	47	Walgreens	4193	TRUE	FALSE	TRUE					
-80.69809388	28.23132043	2718294	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	MELBOURNE	Walgreen Drug Store	FL	7780 N WICKHAM RD	walgreens	32940	walgreens	47	Walgreens	7386	TRUE	FALSE	TRUE					
-80.683099	28.356499	2718296	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	MERRITT ISLAND	Walgreen Drug Store	FL	90 S SYKES CREEK PKWY	walgreens	32952	walgreens	47	Walgreens	4401	TRUE	FALSE	TRUE					
-80.70323267	28.3847667	2718298	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	MERRITT ISLAND	Walgreen Drug Store	FL	1587 N COURTENAY PKWY	walgreens	32953	walgreens	47	Walgreens	9959	TRUE	FALSE	TRUE					
-80.72150181	28.29591856	2718292	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	ROCKLEDGE	Walgreen Drug Store	FL	3799 MURRELL RD	walgreens	32955	walgreens	47	Walgreens	6797	TRUE	FALSE	TRUE					
-80.71744586	28.26605011	2718291	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	ROCKLEDGE	Walgreen Drug Store	FL	5475 MURRELL RD	walgreens	32955	walgreens	47	Walgreens	6181	TRUE	FALSE	TRUE					
-80.74195721	28.3301926	2718293	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	ROCKLEDGE	Walgreen Drug Store	FL	925 BARTON BLVD	walgreens	32955	walgreens	47	Walgreens	4378	TRUE	FALSE	TRUE					
-80.59322011	28.18362863	2718301	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	SATELLITE BEACH	Walgreen Drug Store	FL	1098 HIGHWAY A1A	walgreens	32937	walgreens	47	Walgreens	6149	TRUE	FALSE	TRUE					
-80.79894113	28.5570738	2717554	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	TITUSVILLE	Walgreen Drug Store	FL	4600 S WASHINGTON AVE	walgreens	32780	walgreens	47	Walgreens	4644	TRUE	FALSE	TRUE					
-80.81756032	28.58521402	2717552	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	TITUSVILLE	Walgreen Drug Store	FL	2605 BARNA AVE	walgreens	32780	walgreens	47	Walgreens	1990	TRUE	FALSE	TRUE					
-80.67215342	28.07931661	2718302	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	WEST MELBOURNE	Walgreen Drug Store	FL	3090 W NEW HAVEN AVE	walgreens	32904	walgreens	47	Walgreens	3079	TRUE	FALSE	TRUE					
-81.45681617	28.40609912	2718362	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	ORLANDO	Walgreen Drug Store	FL	11018 INTERNATIONAL DR	walgreens	32821	walgreens	47	Walgreens	15017	TRUE	FALSE	TRUE					
-81.42367208	28.40973149	2718350	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	ORLANDO	Walgreen Drug Store	FL	10801 S JOHN YOUNG PKWY	walgreens	32837	walgreens	47	Walgreens	7460	TRUE	FALSE	TRUE					
-81.31958394	28.25441327	2718319	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	SAINT CLOUD	Walgreen Drug Store	FL	4501 13TH ST	walgreens	34769	walgreens	47	Walgreens	7163	TRUE	FALSE	TRUE					
-81.51390873	27.59512495	2718808	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	AVON PARK	Walgreen Drug Store	FL	93 US HIGHWAY 27 S	walgreens	33825	walgreens	47	Walgreens	5946	TRUE	FALSE	TRUE					
-81.84090385	27.90352087	2718792	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BARTOW	Walgreen Drug Store	FL	395 E VAN FLEET DR	walgreens	33830	walgreens	47	Walgreens	13797	TRUE	FALSE	TRUE					
-82.603599	27.496099	2718723	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	4220 MANATEE AVE W	walgreens	34205	walgreens	47	Walgreens	3613	TRUE	FALSE	TRUE					
-82.50916301	27.49792547	2718741	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	4210 E STATE ROAD 64	walgreens	34208	walgreens	47	Walgreens	4841	TRUE	FALSE	TRUE					
-82.39607403	27.4310892	2718777	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	14415 ARBOR GREEN TRL	walgreens	34202	walgreens	47	Walgreens	12102	TRUE	FALSE	TRUE		TRUE			
-82.5882099	27.4628827	2718730	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	4320 26TH ST W	walgreens	34205	walgreens	47	Walgreens	4379	TRUE	FALSE	TRUE					
-82.59643824	27.44839701	2718729	https://www.walgreens.com/findcare/vaccination/covid-19?ban=covid_vaccine_landing_schedule	BRADENTON	Walgreen Drug Store	FL	3425 53RD AVE W	walgreens	34210	walgreens	47	Walgreens	5641	TRUE	FALSE	TRUE					
